1, Hà Giang, 21°, Mây cụm, 15°, 28°, 28°, 10 km, 0.45 km/giờ, 15 °C, 0, Rất kém
2, Cao Bằng, 19°, Bầu trời quang đãng, 14°, 28°, 28°, 10 km, 1.24 km/giờ, 14 °C, 0, Rất kém
3, Bắc Kạn, 20°, Bầu trời quang đãng, 15°, 29°, 29°, 10 km, 1.44 km/giờ, 15 °C, 0, Rất kém
4, Tuyên Quang, 21°, Bầu trời quang đãng, 16°, 30°, 30°, 10 km, 0.81 km/giờ, 15 °C, 0, Rất kém
5, Thái Nguyên, 24°, Bầu trời quang đãng, 17°, 30°, 30°, 10 km, 1.38 km/giờ, 16 °C, 0, Rất kém
6, Lạng Sơn, 20°, Bầu trời quang đãng, 14°, 28°, 28°, 10 km, 1.4 km/giờ, 13 °C, 0, Rất kém
7, Quảng Ninh, 21°, Bầu trời quang đãng, 18°, 28°, 28°, 10 km, 0.97 km/giờ, 17 °C, 0, Rất kém
8, Bắc Giang, 24°, Bầu trời quang đãng, 18°, 29°, 29°, 10 km, 2.35 km/giờ, 17 °C, 0, Rất kém
9, Phú Thọ, 23°, Bầu trời quang đãng, 18°, 29°, 29°, 10 km, 0.48 km/giờ, 15 °C, 0, Rất kém
10, Lào Cai, 22°, Mây rải rác, 17°, 29°, 29°, 10 km, 0.47 km/giờ, 16 °C, 0, Rất kém
11, Điện Biên, 19°, Bầu trời quang đãng, 14°, 30°, 30°, 10 km, 1.54 km/giờ, 14 °C, 0, Rất kém
12, Lai Châu, 22°, Nhiều mây, 17°, 29°, 29°, 10 km, 1.06 km/giờ, 15 °C, 0, Kém
13, Sơn La, 18°, Bầu trời quang đãng, 13°, 26°, 26°, 10 km, 1.22 km/giờ, 13 °C, 0, Kém
14, Yên Bái, 22°, Bầu trời quang đãng, 18°, 28°, 28°, 10 km, 0.79 km/giờ, 15 °C, 0, Rất kém
15, Hoà Bình, 22°, Mây thưa, 18°, 28°, 28°, 10 km, 0.73 km/giờ, 16 °C, 0, Rất kém
16, Hà Nội, 24°, Sương mờ, 19°, 29°, 29°, 5 km, 1.54 km/giờ, 18 °C, 0, Rất kém
17, Vĩnh Phúc, 24°, Bầu trời quang đãng, 19°, 29°, 29°, 10 km, 1.25 km/giờ, 14 °C, 0, Rất kém
18, Bắc Ninh, 24°, Bầu trời quang đãng, 18°, 29°, 29°, 10 km, 3.18 km/giờ, 17 °C, 0, Rất kém
19, Hải Dương, 25°, Bầu trời quang đãng, 19°, 29°, 29°, 10 km, 2.76 km/giờ, 18 °C, 0, Rất kém
20, Hải Phòng, 25°, Bầu trời quang đãng, 19°, 28°, 28°, 10 km, 2.57 km/giờ, 19 °C, 0, Rất kém
21, Hưng Yên, 23°, Bầu trời quang đãng, 20°, 29°, 29°, 10 km, 2.45 km/giờ, 18 °C, 0, Rất kém
22, Thái Bình, 24°, Bầu trời quang đãng, 21°, 28°, 28°, 10 km, 3.86 km/giờ, 17 °C, 0, Rất kém
23, Hà Nam, 23°, Bầu trời quang đãng, 20°, 29°, 29°, 10 km, 2.17 km/giờ, 17 °C, 0, Rất kém
24, Nam Định, 24°, Bầu trời quang đãng, 21°, 29°, 29°, 10 km, 2.83 km/giờ, 18 °C, 0, Rất kém
25, Ninh Bình, 23°, Bầu trời quang đãng, 21°, 29°, 29°, 10 km, 1.87 km/giờ, 19 °C, 0, Rất kém
26, Thanh Hóa, 22°, Bầu trời quang đãng, 20°, 28°, 28°, 10 km, 1.81 km/giờ, 19 °C, 0, Rất kém
27, Nghệ An, 23°, Bầu trời quang đãng, 20°, 26°, 26°, 10 km, 1.28 km/giờ, 18 °C, 0, Rất kém
28, Hà Tĩnh, 22°, Bầu trời quang đãng, 20°, 26°, 26°, 10 km, 0.55 km/giờ, 18 °C, 0, Rất kém
29, Quảng Bình, 21°, Mây rải rác, 20°, 26°, 26°, 10 km, 1.15 km/giờ, 19 °C, 0, Rất kém
30, Quảng Trị, 22°, Mây rải rác, 20°, 26°, 26°, 10 km, 1.08 km/giờ, 20 °C, 0, Rất kém
31, Thừa Thiên Huế, 25°, Mây rải rác, 21°, 27°, 27°, 10 km, 3.09 km/giờ, 21 °C, 0, Rất kém
32, Đà Nẵng, 25°, Mây thưa, 22°, 27°, 27°, 10 km, 4.12 km/giờ, 21 °C, 0, Rất kém
33, Quảng Nam, 23°, Bầu trời quang đãng, 20°, 27°, 27°, 10 km, 1.91 km/giờ, 20 °C, 0, Rất kém
34, Quảng Ngãi, 23°, Mây rải rác, 21°, 28°, 28°, 10 km, 1.54 km/giờ, 20 °C, 0, Rất kém
35, Bình Định, 24°, Mây cụm, 23°, 27°, 27°, 10 km, 3.99 km/giờ, 21 °C, 0, Rất kém
36, Phú Yên, 21°, Mây cụm, 20°, 28°, 28°, 10 km, 1.27 km/giờ, 20 °C, 0, Rất kém
37, Khánh Hòa, 24°, Nhiều mây, 22°, 30°, 30°, 10 km, 1.14 km/giờ, 22 °C, 0, Rất kém
38, Ninh Thuận, 24°, Mây cụm, 22°, 31°, 31°, 10 km, 3.21 km/giờ, 21 °C, 0, Kém
39, Bình Thuận, 22°, Nhiều mây, 21°, 30°, 30°, 10 km, 1.14 km/giờ, 21 °C, 0, Kém
40, Kon Tum, 21°, Nhiều mây, 18°, 29°, 29°, 10 km, 1.35 km/giờ, 18 °C, 0, Kém
41, Gia Lai, 20°, Nhiều mây, 18°, 27°, 27°, 10 km, 1.4 km/giờ, 19 °C, 0, Rất kém
42, Đắk Lắk, 20°, Mây cụm, 18°, 28°, 28°, 10 km, 3.82 km/giờ, 17 °C, 0, Kém
43, Đắk Nông, 20°, Mây cụm, 18°, 28°, 28°, 10 km, 3.82 km/giờ, 17 °C, 0, Kém
44, Lâm Đồng, 19°, Nhiều mây, 17°, 28°, 28°, 10 km, 1.27 km/giờ, 19 °C, 0, Kém
45, Bình Phước, 23°, Nhiều mây, 21°, 30°, 30°, 10 km, 1.11 km/giờ, 22 °C, 0, Khá
46, Tây Ninh, 24°, Nhiều mây, 22°, 28°, 28°, 10 km, 1.49 km/giờ, 23 °C, 0, Rất kém
47, Bình Dương, 26°, Mây cụm, 22°, 30°, 30°, 8 km, 2.57 km/giờ, 25 °C, 0, Rất kém
48, Đồng Nai, 26°, Nhiều mây, 22°, 30°, 30°, 10 km, 0.85 km/giờ, 25 °C, 0, Rất kém
49, Bà Rịa - Vũng Tàu, 25°, Nhiều mây, 22°, 30°, 30°, 10 km, 4.95 km/giờ, 22 °C, 0, Kém
50, Hồ Chí Minh, 26°, Mây cụm, 22°, 31°, 31°, 8 km, 2.57 km/giờ, 25 °C, 0, Rất kém
51, Long An, 24°, Nhiều mây, 22°, 30°, 30°, 10 km, 1.32 km/giờ, 23 °C, 0, Rất kém
52, Tiền Giang, 24°, Nhiều mây, 23°, 30°, 30°, 10 km, 2.2 km/giờ, 23 °C, 0, Kém
53, Bến Tre, 24°, Nhiều mây, 23°, 30°, 30°, 10 km, 2.46 km/giờ, 23 °C, 0, Kém
54, Trà Vinh, 24°, Nhiều mây, 23°, 29°, 29°, 9.46 km, 3.39 km/giờ, 23 °C, 0, Kém
55, Vĩnh Long, 25°, Mưa nhẹ, 23°, 30°, 30°, 8 km, 1.83 km/giờ, 24 °C, 0, Kém
56, Đồng Tháp, 25°, Mưa nhẹ, 23°, 30°, 30°, 10 km, 2.56 km/giờ, 23 °C, 0, Kém
57, An Giang, 25°, Mưa nhẹ, 23°, 30°, 30°, 10 km, 2.45 km/giờ, 23 °C, 0, Kém
58, Kiên Giang, 25°, Mưa nhẹ, 23°, 28°, 28°, 10 km, 2.54 km/giờ, 23 °C, 0, Kém
59, Cần Thơ, 25°, Mưa nhẹ, 23°, 30°, 30°, 10 km, 2.06 km/giờ, 25 °C, 0, Kém
60, Hậu Giang, 25°, Mưa nhẹ, 23°, 29°, 29°, 10 km, 2.49 km/giờ, 24 °C, 0, Kém
61, Sóc Trăng, 24°, Mưa cường độ nặng, 23°, 29°, 29°, 5.59 km, 3.17 km/giờ, 23 °C, 0, Kém
62, Bạc Liêu, 25°, Mưa cường độ nặng, 24°, 28°, 28°, 7.28 km, 4.51 km/giờ, 23 °C, 0, Trung bình
63, Cà Mau, 24°, Mưa nhẹ, 22°, 30°, 30°, 10 km, 1.86 km/giờ, 23 °C, 0, Khá
